algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
rand,CoMD,1,2,0,512,115,41.4232,20,41.928767322834645,0.5055673228346436
spr,CoMD,2,1,0,512,115,41.2631,20,41.281371812080536,0.018271812080534744
pak,CoMD,2,1,0,512,115,39.8446,20,41.379472666666665,1.534872666666665
rand,CoMD,2,1,0,512,115,40.5709,20,41.928767322834645,1.3578673228346432
spr,CoMD,3,0,0,512,115,39.1163,20,41.281371812080536,2.1650718120805337
pak,CoMD,3,0,0,512,115,38.1473,20,41.379472666666665,3.2321726666666635
rand,CoMD,3,0,0,512,115,39.7956,20,41.928767322834645,2.1331673228346446
spr,CoMD,4,0,1,512,115,38.0234,20,41.281371812080536,3.257971812080534
pak,CoMD,4,0,1,512,115,37.3701,20,41.379472666666665,4.009372666666664
rand,CoMD,4,0,1,512,115,37.3837,20,41.928767322834645,4.545067322834647
spr,CoMD,5,0,2,512,115,37.9654,20,41.281371812080536,3.3159718120805337
pak,CoMD,5,0,2,512,115,37.7893,20,41.379472666666665,3.5901726666666676
rand,CoMD,5,0,2,512,115,37.7376,20,41.928767322834645,4.191167322834644
spr,CoMD,1,2,0,512,64,51.3931,24,41.281371812080536,10.11172818791946
pak,CoMD,1,2,0,512,64,47.3946,24,41.379472666666665,6.015127333333332
rand,CoMD,1,2,0,512,64,53.8891,24,41.928767322834645,11.960332677165354
spr,CoMD,2,1,0,512,64,51.3236,24,41.281371812080536,10.042228187919463
pak,CoMD,2,1,0,512,64,48.1787,24,41.379472666666665,6.799227333333334
rand,CoMD,2,1,0,512,64,50.5937,24,41.928767322834645,8.664932677165353
spr,CoMD,3,0,0,512,64,50.1271,24,41.281371812080536,8.845728187919462
pak,CoMD,3,0,0,512,64,47.6891,24,41.379472666666665,6.309627333333339
rand,CoMD,3,0,0,512,64,50.2685,24,41.928767322834645,8.339732677165358
spr,CoMD,4,0,1,512,64,49.3084,24,41.281371812080536,8.027028187919463
pak,CoMD,4,0,1,512,64,47.3286,24,41.379472666666665,5.949127333333337
rand,CoMD,4,0,1,512,64,48.6047,24,41.928767322834645,6.675932677165356
spr,CoMD,5,0,2,512,64,49.8253,24,41.281371812080536,8.543928187919462
pak,CoMD,5,0,2,512,64,48.3123,24,41.379472666666665,6.932827333333336
rand,CoMD,5,0,2,512,64,49.1782,24,41.928767322834645,7.249432677165352
spr,CoMD,1,2,0,512,80,44.5447,24,41.281371812080536,3.2633281879194627
pak,CoMD,1,2,0,512,80,40.7837,24,41.379472666666665,0.5957726666666616
