algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count,avg_runtime,perf_variation
rand,lu,3,0,0,512,115,65.21,20,45.534470588235294,19.6755294117647
spr,lu,4,0,1,512,115,65.73,20,41.2041610738255,24.5258389261745
pak,lu,4,0,1,512,115,65.52,20,40.849066666666666,24.67093333333333
rand,lu,4,0,1,512,115,65.22,20,45.534470588235294,19.685529411764705
spr,lu,5,0,2,512,115,65.49,20,41.2041610738255,24.285838926174492
pak,lu,5,0,2,512,115,65.75,20,40.849066666666666,24.900933333333334
rand,lu,5,0,2,512,115,64.97,20,45.534470588235294,19.435529411764705
spr,lu,1,2,0,512,64,92.6,24,41.2041610738255,51.39583892617449
pak,lu,1,2,0,512,64,88.94,24,40.849066666666666,48.09093333333333
rand,lu,1,2,0,512,64,101.62,24,45.534470588235294,56.08552941176471
spr,lu,2,1,0,512,64,89.72,24,41.2041610738255,48.515838926174496
pak,lu,2,1,0,512,64,88.96,24,40.849066666666666,48.11093333333333
rand,lu,2,1,0,512,64,90.94,24,45.534470588235294,45.405529411764704
spr,lu,3,0,0,512,64,88.64,24,41.2041610738255,47.4358389261745
pak,lu,3,0,0,512,64,88.32,24,40.849066666666666,47.47093333333333
rand,lu,3,0,0,512,64,89.03,24,45.534470588235294,43.49552941176471
spr,lu,4,0,1,512,64,88.57,24,41.2041610738255,47.36583892617449
pak,lu,4,0,1,512,64,88.8,24,40.849066666666666,47.95093333333333
rand,lu,4,0,1,512,64,89.2,24,45.534470588235294,43.66552941176471
spr,lu,5,0,2,512,64,88.31,24,41.2041610738255,47.1058389261745
pak,lu,5,0,2,512,64,88.56,24,40.849066666666666,47.71093333333334
rand,lu,5,0,2,512,64,88.04,24,45.534470588235294,42.50552941176471
spr,lu,1,2,0,512,80,80.65,24,41.2041610738255,39.4458389261745
pak,lu,1,2,0,512,80,75.82,24,40.849066666666666,34.97093333333333
rand,lu,1,2,0,512,80,80.15,24,45.534470588235294,34.61552941176471
spr,lu,2,1,0,512,80,75.84,24,41.2041610738255,34.6358389261745
pak,lu,2,1,0,512,80,76.09,24,40.849066666666666,35.24093333333334
rand,lu,2,1,0,512,80,77.2,24,45.534470588235294,31.66552941176471
spr,lu,3,0,0,512,80,75.76,24,41.2041610738255,34.5558389261745
pak,lu,3,0,0,512,80,76.61,24,40.849066666666666,35.760933333333334
rand,lu,3,0,0,512,80,76.79,24,45.534470588235294,31.255529411764712
spr,lu,4,0,1,512,80,74.96,24,41.2041610738255,33.75583892617449
pak,lu,4,0,1,512,80,76.01,24,40.849066666666666,35.16093333333334
rand,lu,4,0,1,512,80,74.98,24,45.534470588235294,29.44552941176471
spr,lu,5,0,2,512,80,74.99,24,41.2041610738255,33.78583892617449
pak,lu,5,0,2,512,80,76.11,24,40.849066666666666,35.260933333333334
rand,lu,5,0,2,512,80,76.35,24,45.534470588235294,30.8155294117647
spr,lu,1,2,0,512,115,75.63,24,41.2041610738255,34.42583892617449
pak,lu,1,2,0,512,115,70.36,24,40.849066666666666,29.510933333333334
rand,lu,1,2,0,512,115,77.74,24,45.534470588235294,32.2055294117647
spr,lu,2,1,0,512,115,70.77,24,41.2041610738255,29.565838926174493
pak,lu,2,1,0,512,115,70.33,24,40.849066666666666,29.480933333333333
rand,lu,2,1,0,512,115,71.34,24,45.534470588235294,25.80552941176471
spr,lu,3,0,0,512,115,70.07,24,41.2041610738255,28.86583892617449
pak,lu,3,0,0,512,115,70.22,24,40.849066666666666,29.370933333333333
rand,lu,3,0,0,512,115,69.85,24,45.534470588235294,24.3155294117647
spr,lu,4,0,1,512,115,69.86,24,41.2041610738255,28.655838926174496
pak,lu,4,0,1,512,115,70.43,24,40.849066666666666,29.58093333333334
rand,lu,4,0,1,512,115,69.94,24,45.534470588235294,24.405529411764704
spr,lu,5,0,2,512,115,70.12,24,41.2041610738255,28.9158389261745
pak,lu,5,0,2,512,115,70.51,24,40.849066666666666,29.66093333333334
rand,lu,5,0,2,512,115,69.0,24,45.534470588235294,23.465529411764706
rand,lu,1,2,0,512,64,75.49,16,45.534470588235294,29.9555294117647
rand,lu,2,1,0,512,64,68.09,16,45.534470588235294,22.55552941176471
rand,lu,3,0,0,512,64,66.58,16,45.534470588235294,21.045529411764704
rand,lu,4,0,1,512,64,65.99,16,45.534470588235294,20.4555294117647
rand,lu,5,0,2,512,64,65.44,16,45.534470588235294,19.905529411764704
rand,lu,1,2,0,512,80,69.88,16,45.534470588235294,24.3455294117647
