algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
spr,amr,2,1,0,1024,80,32.589622,24
pak,amr,1,2,0,1024,80,28.612562,24
rand,amr,1,2,0,1024,80,71.903380,24
spr,amr,1,2,0,1024,80,37.831681,24
pak,amr,3,0,0,2048,115,21.854543,16
rand,amr,3,0,0,2048,115,22.797830,16
spr,amr,3,0,0,2048,115,21.924475,16
pak,amr,4,0,1,2048,115,19.692218,16
rand,amr,4,0,1,2048,115,19.543157,16
spr,amr,4,0,1,2048,115,19.818344,16
pak,amr,5,0,2,2048,115,19.634138,16
rand,amr,5,0,2,2048,115,19.607898,16
spr,amr,5,0,2,2048,115,19.661473,16
pak,amr,2,1,0,2048,115,27.125267,16
rand,amr,2,1,0,2048,115,29.891039,16
spr,amr,2,1,0,2048,115,27.833127,16
pak,amr,1,2,0,2048,115,48.106301,16
rand,amr,1,2,0,2048,115,71.719871,16
spr,amr,1,2,0,2048,115,50.547093,16
pak,amr,3,0,0,2048,64,22.524677,16
rand,amr,3,0,0,2048,64,23.558561,16
spr,amr,3,0,0,2048,64,22.936198,16
pak,amr,4,0,1,2048,64,20.971295,16
rand,amr,4,0,1,2048,64,21.300377,16
spr,amr,4,0,1,2048,64,20.709901,16
pak,amr,5,0,2,2048,64,20.886512,16
rand,amr,5,0,2,2048,64,20.989838,16
spr,amr,5,0,2,2048,64,21.040770,16
pak,amr,2,1,0,2048,64,28.353293,16
rand,amr,2,1,0,2048,64,32.150837,16
spr,amr,2,1,0,2048,64,29.098393,16
pak,amr,1,2,0,2048,64,48.842436,16
rand,amr,1,2,0,2048,64,59.338378,16
spr,amr,1,2,0,2048,64,51.220656,16
pak,amr,3,0,0,2048,80,21.607580,16
rand,amr,3,0,0,2048,80,21.831094,16
spr,amr,3,0,0,2048,80,22.238003,16
pak,amr,4,0,1,2048,80,19.544674,16
rand,amr,4,0,1,2048,80,19.950869,16
spr,amr,4,0,1,2048,80,19.637611,16
pak,amr,5,0,2,2048,80,19.595008,16
rand,amr,5,0,2,2048,80,19.864920,16
spr,amr,5,0,2,2048,80,19.587732,16
pak,amr,2,1,0,2048,80,27.090642,16
rand,amr,2,1,0,2048,80,29.901299,16
spr,amr,2,1,0,2048,80,28.173341,16
pak,amr,1,2,0,2048,80,47.719345,16
rand,amr,1,2,0,2048,80,71.588846,16
spr,amr,1,2,0,2048,80,50.592232,16
pak,amr,3,0,0,2048,115,29.887734,24
rand,amr,3,0,0,2048,115,33.356677,24
