algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
pak,CoMD,3,0,0,512,115,39.1388,24
rand,CoMD,3,0,0,512,115,40.5600,24
spr,CoMD,4,0,1,512,115,39.2648,24
pak,CoMD,4,0,1,512,115,38.4736,24
rand,CoMD,4,0,1,512,115,39.4218,24
spr,CoMD,5,0,2,512,115,39.7904,24
pak,CoMD,5,0,2,512,115,39.3817,24
rand,CoMD,5,0,2,512,115,39.3005,24
rand,CoMD,1,2,0,512,64,40.5446,16
rand,CoMD,2,1,0,512,64,38.3002,16
rand,CoMD,3,0,0,512,64,37.5412,16
rand,CoMD,4,0,1,512,64,38.1761,16
rand,CoMD,5,0,2,512,64,37.2467,16
rand,CoMD,1,2,0,512,80,36.4466,16
rand,CoMD,2,1,0,512,80,34.7423,16
rand,CoMD,3,0,0,512,80,35.0206,16
rand,CoMD,4,0,1,512,80,34.9710,16
rand,CoMD,5,0,2,512,80,34.2762,16
rand,CoMD,1,2,0,512,115,37.1949,16
rand,CoMD,2,1,0,512,115,35.3526,16
rand,CoMD,3,0,0,512,115,35.2080,16
rand,CoMD,4,0,1,512,115,34.5600,16
rand,CoMD,5,0,2,512,115,33.9367,16
rand,CoMD,1,2,0,512,64,47.5484,20
rand,CoMD,2,1,0,512,64,46.6069,20
rand,CoMD,3,0,0,512,64,45.0535,20
rand,CoMD,4,0,1,512,64,43.7073,20
rand,CoMD,5,0,2,512,64,43.6000,20
rand,CoMD,1,2,0,512,80,41.7604,20
rand,CoMD,2,1,0,512,80,42.5271,20
rand,CoMD,3,0,0,512,80,40.1230,20
rand,CoMD,4,0,1,512,80,38.3758,20
rand,CoMD,5,0,2,512,80,38.4931,20
rand,CoMD,1,2,0,512,115,42.1792,20
rand,CoMD,2,1,0,512,115,40.2207,20
rand,CoMD,3,0,0,512,115,38.3543,20
rand,CoMD,4,0,1,512,115,37.2856,20
rand,CoMD,5,0,2,512,115,36.0056,20
rand,CoMD,1,2,0,512,64,51.0499,24
rand,CoMD,2,1,0,512,64,50.3551,24
rand,CoMD,3,0,0,512,64,49.4014,24
rand,CoMD,4,0,1,512,64,48.1675,24
rand,CoMD,5,0,2,512,64,46.7518,24
rand,CoMD,1,2,0,512,80,45.2929,24
rand,CoMD,2,1,0,512,80,44.7775,24
rand,CoMD,3,0,0,512,80,42.7860,24
rand,CoMD,4,0,1,512,80,40.4760,24
rand,CoMD,5,0,2,512,80,40.2799,24
rand,CoMD,1,2,0,512,115,42.3952,24
rand,CoMD,2,1,0,512,115,42.5873,24
rand,CoMD,3,0,0,512,115,40.1533,24
rand,CoMD,4,0,1,512,115,39.1330,24
rand,CoMD,5,0,2,512,115,38.1979,24
spr,CoMD,1,2,0,1024,64,40.9101,16
pak,CoMD,1,2,0,1024,64,39.2341,16
rand,CoMD,1,2,0,1024,64,40.8188,16
