algorithm,app,bw_level,ipath_0,ipath_1,node_count,power_cap,runtime,thread_count
rand,lu,5,0,2,512,80,61.15,16
rand,lu,1,2,0,512,115,67.02,16
rand,lu,2,1,0,512,115,61.37,16
rand,lu,3,0,0,512,115,60.25,16
rand,lu,4,0,1,512,115,59.20,16
rand,lu,5,0,2,512,115,59.73,16
rand,lu,1,2,0,512,64,86.15,20
rand,lu,2,1,0,512,64,79.94,20
rand,lu,3,0,0,512,64,79.55,20
rand,lu,4,0,1,512,64,76.75,20
rand,lu,5,0,2,512,64,77.07,20
rand,lu,1,2,0,512,80,72.33,20
rand,lu,2,1,0,512,80,69.07,20
rand,lu,3,0,0,512,80,68.97,20
rand,lu,4,0,1,512,80,68.30,20
rand,lu,5,0,2,512,80,67.55,20
rand,lu,1,2,0,512,115,70.98,20
rand,lu,2,1,0,512,115,66.59,20
rand,lu,3,0,0,512,115,65.23,20
rand,lu,4,0,1,512,115,65.04,20
rand,lu,5,0,2,512,115,65.11,20
rand,lu,1,2,0,512,64,93.10,24
rand,lu,2,1,0,512,64,89.35,24
rand,lu,3,0,0,512,64,87.99,24
rand,lu,4,0,1,512,64,87.71,24
rand,lu,5,0,2,512,64,88.34,24
rand,lu,1,2,0,512,80,84.33,24
rand,lu,2,1,0,512,80,75.16,24
rand,lu,3,0,0,512,80,76.39,24
rand,lu,4,0,1,512,80,75.28,24
rand,lu,5,0,2,512,80,76.42,24
rand,lu,1,2,0,512,115,78.79,24
rand,lu,2,1,0,512,115,70.87,24
rand,lu,3,0,0,512,115,70.34,24
rand,lu,4,0,1,512,115,69.42,24
rand,lu,5,0,2,512,115,70.72,24
spr,lu,1,2,0,1024,64,38.38,16
pak,lu,1,2,0,1024,64,35.92,16
rand,lu,1,2,0,1024,64,43.33,16
spr,lu,2,1,0,1024,64,36.47,16
pak,lu,2,1,0,1024,64,35.74,16
rand,lu,2,1,0,1024,64,37.81,16
spr,lu,3,0,0,1024,64,35.75,16
pak,lu,3,0,0,1024,64,35.45,16
rand,lu,3,0,0,1024,64,35.59,16
spr,lu,4,0,1,1024,64,34.67,16
pak,lu,4,0,1,1024,64,35.50,16
rand,lu,4,0,1,1024,64,35.27,16
spr,lu,5,0,2,1024,64,34.83,16
pak,lu,5,0,2,1024,64,35.15,16
rand,lu,5,0,2,1024,64,34.97,16
spr,lu,1,2,0,1024,80,35.92,16
pak,lu,1,2,0,1024,80,32.83,16
rand,lu,1,2,0,1024,80,38.83,16
spr,lu,2,1,0,1024,80,33.21,16
pak,lu,2,1,0,1024,80,32.50,16
rand,lu,2,1,0,1024,80,33.84,16
spr,lu,3,0,0,1024,80,32.24,16
pak,lu,3,0,0,1024,80,32.34,16
rand,lu,3,0,0,1024,80,32.66,16
spr,lu,4,0,1,1024,80,31.71,16
pak,lu,4,0,1,1024,80,32.03,16
rand,lu,4,0,1,1024,80,31.60,16
spr,lu,5,0,2,1024,80,31.77,16
pak,lu,5,0,2,1024,80,32.40,16
rand,lu,5,0,2,1024,80,31.99,16
spr,lu,1,2,0,1024,115,35.52,16
pak,lu,1,2,0,1024,115,32.46,16
rand,lu,1,2,0,1024,115,41.59,16
spr,lu,2,1,0,1024,115,33.35,16
pak,lu,2,1,0,1024,115,31.91,16
rand,lu,2,1,0,1024,115,33.38,16
spr,lu,3,0,0,1024,115,32.15,16
pak,lu,3,0,0,1024,115,31.95,16
rand,lu,3,0,0,1024,115,32.47,16
spr,lu,4,0,1,1024,115,31.87,16
pak,lu,4,0,1,1024,115,31.68,16
rand,lu,4,0,1,1024,115,32.07,16
spr,lu,5,0,2,1024,115,31.55,16
pak,lu,5,0,2,1024,115,32.04,16
rand,lu,5,0,2,1024,115,31.73,16
spr,lu,1,2,0,1024,64,44.55,20
pak,lu,1,2,0,1024,64,42.29,20
rand,lu,1,2,0,1024,64,49.47,20
spr,lu,2,1,0,1024,64,42.20,20
pak,lu,2,1,0,1024,64,40.95,20
rand,lu,2,1,0,1024,64,42.71,20
spr,lu,3,0,0,1024,64,41.82,20
pak,lu,3,0,0,1024,64,40.69,20
rand,lu,3,0,0,1024,64,41.97,20
spr,lu,4,0,1,1024,64,41.78,20
pak,lu,4,0,1,1024,64,40.98,20
rand,lu,4,0,1,1024,64,41.57,20
spr,lu,5,0,2,1024,64,41.52,20
pak,lu,5,0,2,1024,64,40.76,20
rand,lu,5,0,2,1024,64,41.25,20
spr,lu,1,2,0,1024,80,39.37,20
pak,lu,1,2,0,1024,80,37.40,20
rand,lu,1,2,0,1024,80,46.57,20
spr,lu,2,1,0,1024,80,37.39,20
pak,lu,2,1,0,1024,80,36.46,20
rand,lu,2,1,0,1024,80,37.51,20
spr,lu,3,0,0,1024,80,36.98,20
pak,lu,3,0,0,1024,80,36.40,20
rand,lu,3,0,0,1024,80,36.67,20
spr,lu,4,0,1,1024,80,36.64,20
pak,lu,4,0,1,1024,80,36.29,20
rand,lu,4,0,1,1024,80,36.71,20
spr,lu,5,0,2,1024,80,36.22,20
pak,lu,5,0,2,1024,80,36.41,20
rand,lu,5,0,2,1024,80,37.09,20
spr,lu,1,2,0,1024,115,38.57,20
pak,lu,1,2,0,1024,115,36.19,20
rand,lu,1,2,0,1024,115,35.11,20
spr,lu,2,1,0,1024,115,35.53,20
pak,lu,2,1,0,1024,115,35.27,20
rand,lu,2,1,0,1024,115,36.30,20
spr,lu,3,0,0,1024,115,34.97,20
pak,lu,3,0,0,1024,115,35.15,20
rand,lu,3,0,0,1024,115,35.68,20
spr,lu,4,0,1,1024,115,35.16,20
pak,lu,4,0,1,1024,115,35.18,20
rand,lu,4,0,1,1024,115,35.08,20
spr,lu,5,0,2,1024,115,35.22,20
pak,lu,5,0,2,1024,115,35.21,20
rand,lu,5,0,2,1024,115,35.00,20
spr,lu,1,2,0,1024,64,50.45,24
pak,lu,1,2,0,1024,64,47.38,24
rand,lu,1,2,0,1024,64,53.91,24
spr,lu,2,1,0,1024,64,48.11,24
pak,lu,2,1,0,1024,64,46.79,24
rand,lu,2,1,0,1024,64,49.62,24
spr,lu,3,0,0,1024,64,47.70,24
pak,lu,3,0,0,1024,64,46.88,24
rand,lu,3,0,0,1024,64,48.48,24
spr,lu,4,0,1,1024,64,47.30,24
pak,lu,4,0,1,1024,64,46.80,24
rand,lu,4,0,1,1024,64,47.57,24
spr,lu,5,0,2,1024,64,47.54,24
pak,lu,5,0,2,1024,64,46.60,24
rand,lu,5,0,2,1024,64,47.55,24
spr,lu,1,2,0,1024,80,44.13,24
pak,lu,1,2,0,1024,80,40.97,24
rand,lu,1,2,0,1024,80,51.71,24
spr,lu,2,1,0,1024,80,41.39,24
pak,lu,2,1,0,1024,80,40.38,24
rand,lu,2,1,0,1024,80,42.22,24
spr,lu,3,0,0,1024,80,41.21,24
pak,lu,3,0,0,1024,80,40.35,24
rand,lu,3,0,0,1024,80,40.92,24
spr,lu,4,0,1,1024,80,40.87,24
pak,lu,4,0,1,1024,80,40.00,24
rand,lu,4,0,1,1024,80,40.82,24
spr,lu,5,0,2,1024,80,40.84,24
pak,lu,5,0,2,1024,80,40.55,24
rand,lu,5,0,2,1024,80,40.78,24
spr,lu,1,2,0,1024,115,41.02,24
pak,lu,1,2,0,1024,115,38.43,24
rand,lu,1,2,0,1024,115,47.84,24
spr,lu,2,1,0,1024,115,38.36,24
pak,lu,2,1,0,1024,115,38.08,24
rand,lu,2,1,0,1024,115,39.15,24
spr,lu,3,0,0,1024,115,38.18,24
pak,lu,3,0,0,1024,115,37.79,24
rand,lu,3,0,0,1024,115,37.60,24
spr,lu,4,0,1,1024,115,37.64,24
pak,lu,4,0,1,1024,115,37.90,24
rand,lu,4,0,1,1024,115,37.72,24
spr,lu,5,0,2,1024,115,38.25,24
pak,lu,5,0,2,1024,115,38.12,24
rand,lu,5,0,2,1024,115,37.41,24
rand,lu,1,2,0,1024,64,42.25,16
rand,lu,2,1,0,1024,64,37.67,16
rand,lu,3,0,0,1024,64,35.95,16
rand,lu,4,0,1,1024,64,35.38,16
rand,lu,5,0,2,1024,64,35.16,16
rand,lu,1,2,0,1024,80,43.17,16
rand,lu,2,1,0,1024,80,33.58,16
rand,lu,3,0,0,1024,80,32.57,16
rand,lu,4,0,1,1024,80,31.99,16
rand,lu,5,0,2,1024,80,32.21,16
rand,lu,1,2,0,1024,115,42.46,16
rand,lu,2,1,0,1024,115,33.22,16
rand,lu,3,0,0,1024,115,32.27,16
rand,lu,4,0,1,1024,115,31.76,16
rand,lu,5,0,2,1024,115,31.96,16
rand,lu,1,2,0,1024,64,48.80,20
rand,lu,2,1,0,1024,64,43.14,20
rand,lu,3,0,0,1024,64,41.80,20
rand,lu,4,0,1,1024,64,41.62,20
rand,lu,5,0,2,1024,64,42.21,20
rand,lu,1,2,0,1024,80,47.49,20
rand,lu,2,1,0,1024,80,37.67,20
rand,lu,3,0,0,1024,80,37.03,20
rand,lu,4,0,1,1024,80,36.46,20
rand,lu,5,0,2,1024,80,36.60,20
rand,lu,1,2,0,1024,115,46.04,20
rand,lu,2,1,0,1024,115,36.20,20
rand,lu,3,0,0,1024,115,35.62,20
rand,lu,4,0,1,1024,115,35.40,20
rand,lu,5,0,2,1024,115,34.90,20
rand,lu,1,2,0,1024,64,58.61,24
rand,lu,2,1,0,1024,64,50.32,24
rand,lu,3,0,0,1024,64,48.77,24
rand,lu,4,0,1,1024,64,50.11,24
rand,lu,5,0,2,1024,64,50.11,24
rand,lu,1,2,0,1024,80,49.86,24
rand,lu,2,1,0,1024,80,42.31,24
rand,lu,3,0,0,1024,80,41.51,24
rand,lu,4,0,1,1024,80,41.04,24
rand,lu,5,0,2,1024,80,40.92,24
rand,lu,1,2,0,1024,115,45.03,24
rand,lu,2,1,0,1024,115,38.59,24
rand,lu,3,0,0,1024,115,38.21,24
rand,lu,4,0,1,1024,115,38.25,24
rand,lu,5,0,2,1024,115,37.77,24
spr,lu,1,2,0,2048,64,23.99,16
rand,lu,1,2,0,2048,64,26.05,16
spr,lu,2,1,0,2048,64,20.31,16
rand,lu,2,1,0,2048,64,20.33,16
spr,lu,3,0,0,2048,64,19.81,16
rand,lu,3,0,0,2048,64,20.13,16
spr,lu,4,0,1,2048,64,20.15,16
rand,lu,4,0,1,2048,64,19.75,16
spr,lu,5,0,2,2048,64,19.86,16
rand,lu,5,0,2,2048,64,20.02,16
spr,lu,1,2,0,2048,80,22.61,16
rand,lu,1,2,0,2048,80,23.77,16
spr,lu,2,1,0,2048,80,18.81,16
rand,lu,2,1,0,2048,80,18.82,16
spr,lu,3,0,0,2048,80,18.28,16
rand,lu,3,0,0,2048,80,18.8,16
spr,lu,4,0,1,2048,80,18.28,16
rand,lu,4,0,1,2048,80,18.17,16
spr,lu,5,0,2,2048,80,18.23,16
rand,lu,5,0,2,2048,80,18.14,16
spr,lu,1,2,0,2048,115,22.57,16
rand,lu,1,2,0,2048,115,23.65,16
spr,lu,2,1,0,2048,115,18.51,16
rand,lu,2,1,0,2048,115,18.94,16
spr,lu,3,0,0,2048,115,18.28,16
rand,lu,3,0,0,2048,115,18.46,16
spr,lu,4,0,1,2048,115,18.16,16
rand,lu,4,0,1,2048,115,18.27,16
spr,lu,5,0,2,2048,115,18.19,16
